region,Code adm1,Zone adm2,Code adm2,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 3-5,perc,Population
CASCADES,BF047,Leraba,BF047002,182410,3723,,,,,0,186133
CASCADES,BF047,Comoé,BF047001,676201,13800,,,,,0,690001
CENTRE,BF013,Kadiogo,BF013000,2420918,582246,61289,,,61289,2,3064453
CENTRE-EST,BF048,Kouriténga,BF048003,359405,123084,9847,,,9847,2,492335
CENTRE-EST,BF048,Boulgou,BF048001,581826,202023,24243,,,24243,3,808091
CENTRE-EST,BF048,Koulpélogo,BF048002,336236,47469,11867,,,11867,3,395572
CENTRE-NORD,BF049,Bam,BF049001,122401,142801,134641,8160,,142801,35,408003
CENTRE-NORD,BF049,Namentenga,BF049002,214522,146265,117012,9751,,126763,26,487550
CENTRE-NORD,BF049,Sanmatenga,BF049003,194104,352917,308802,26469,,335271,38,882292
CENTRE-OUEST,BF050,Boulkiemdé,BF050001,558379,143174,14317,,,14317,2,715870
CENTRE-OUEST,BF050,Sanguié,BF050002,306025,108995,4192,,,4192,1,419213
CENTRE-OUEST,BF050,Ziro,BF050004,250086,25009,2779,,,2779,1,277873
CENTRE-OUEST,BF050,Sissili,BF050003,290041,22068,3153,,,3153,1,315262
CENTRE-SUD,BF051,Bazega,BF051001,253811,65080,6508,,,6508,2,325399
CENTRE-SUD,BF051,Zoundwéogo,BF051003,277737,71215,7121,,,7121,2,356073
CENTRE-SUD,BF051,Nahouri,BF051002,228786,4669,,,,,0,233455
EST,BF052,Gnagna,BF052001,409527,122247,79460,,,79460,13,611234
EST,BF052,Gourma,BF052002,299766,112412,56206,,,56206,12,468384
EST,BF052,Komonjdjari,BF052003,70182,38990,19495,1300,,20795,16,129966
EST,BF052,Kompienga,BF052004,83879,37881,13529,,,13529,10,135288
EST,BF052,Tapoa,BF052005,424358,102061,10743,,,10743,2,537162
HAUTS-BASSINS,BF053,Houet,BF053001,1261513,148413,74207,,,74207,5,1484133
HAUTS-BASSINS,BF053,Tuy,BF053003,308728,39035,7097,,,7097,2,354860
HAUTS-BASSINS,BF053,Kénédougou,BF053002,397498,44663,4466,,,4466,1,446627
MOUHOUN,BF046,Balé,BF046001,265384,43710,3122,,,3122,1,312217
MOUHOUN,BF046,Mouhoun,BF046004,360164,73768,,,,,0,433932
MOUHOUN,BF046,Nayala,BF046005,187907,41757,2320,,,2320,1,231984
MOUHOUN,BF046,Sourou,BF046006,170122,108259,30931,,,30931,10,309312
MOUHOUN,BF046,Kossi,BF046003,329484,59545,7939,,,7939,2,396969
MOUHOUN,BF046,Banwa,BF046002,359844,27379,3911,,,3911,1,391135
NORD,BF054,Loroum,BF054001,121899,52543,31526,4203,,35729,17,210170
NORD,BF054,Passoré,BF054002,242154,196465,18276,,,18276,4,456895
NORD,BF054,Zondoma,BF054004,190352,54386,2472,,,2472,1,247211
NORD,BF054,Yatenga,BF054003,576632,160176,64070,,,64070,8,800878
PLATEAU CENTRAL,BF055,Ganzourgou,BF055001,346675,110936,4622,,,4622,1,462233
PLATEAU CENTRAL,BF055,Kourwéogo,BF055002,139601,52350,1939,,,1939,1,193890
PLATEAU CENTRAL,BF055,Oubritenga,BF055003,265826,68161,6816,,,6816,2,340803
SAHEL,BF056,Yagha,BF056004,146604,61085,36651,,,36651,15,244340
SAHEL,BF056,Séno,BF056002,221281,102738,67175,3951,,71126,18,395145
SAHEL,BF056,Oudalan,BF056001,134213,106760,61006,3050,,64056,21,305029
SAHEL,BF056,Soum,BF056003,105874,211748,195867,15881,,211748,40,529371
SUD-OUEST,BF057,Bougouriba,BF057001,129076,18222,4556,,,4556,3,151854
SUD-OUEST,BF057,Noumbiel,BF057003,90313,13813,2125,,,2125,2,106251
SUD-OUEST,BF057,Poni,BF057004,324867,53507,3822,,,3822,1,382196
SUD-OUEST,BF057,Ioba,BF057002,182209,76147,13598,,,13598,5,271953
TOTAL,,,,15 398 820,4 393 695,1 533 718,72 765,,1 606 483,,21 398 997
,,,,,,,,,,,
Source : Analyse du Cadre harmonisé, Atelier régional de validation, Ouagadougou, Burkina Faso, mars 2020,,,,,,,
©2020. Réseau de prévention des crises alimentaires (RPCA),,,,,,,,,,,
