admin2,total_pdi,total_local,total,pop_disp
bale,10875,325280,336155,0.0323511475361069
bam,65901,398553,464454,0.141889186011962
banwa,2394,382490,384884,0.0062200559129504
bazega,550,319215,319765,0.00172001313464576
bougouriba,229,148270,148499,0.00154209792658536
boulgou,6089,789282,795371,0.00765554690829814
boulkiemde,234,700924,701158,3.33733623519948e-4
comoe,7696,669532,677228,0.0113639719562688
ganzourgou,3271,452074,455345,0.00718356411072923
gnagna,5137,596841,601978,0.00853353444810276
gourma,43598,456817,500415,0.0871236873395082
houet,10961,6223446,6234407,0.00175814636420112
ioba,336,239798,240134,0.00139921876952035
kadiogo,1051,2966307,2967358,3.54187125382242e-4
kenedougou,2598,386967,389565,0.00666897693581302
komandjori,7558,126332,133890,0.0564493240719994
kompienga,4758,130926,135684,0.0350667727956133
kossi,19920,388559,408479,0.0487662768465454
koulpelgo,4014,385799,389813,0.0102972450893121
kouritenga,15845,480765,496610,0.0319063248827047
kourweogo,665,189937,190602,0.00348894555146326
leraba,33,181744,181777,1.81541119063468e-4
loroum,27922,205394,233316,0.119674604399184
mouhoun,1180,1540927,1542107,7.65186851496038e-4
nahouri,302,228031,228333,0.00132262966807251
namentenga,64850,476262,541112,0.119845799021275
nayala,352,187557,187909,0.00187324715686848
noumbiel,1410,103673,105083,0.0134179648468354
oubritenga,10524,333557,344081,0.0305858213618305
oudalan,42257,297228,339485,0.124473835368278
passore,3036,447406,450442,0.00674004644327128
poni,1588,373292,374880,0.00423602219376867
sanguie,1388,410555,411943,0.00336939819343938
sanmatenga,291516,862072,1153588,0.252703738249704
seno,88817,385900,474717,0.187094626904029
sissili,4463,307664,312127,0.0142986668887985
soum,211412,516396,727808,0.290477708406613
sourou,10182,303001,313183,0.032511343208284
tapoa,5409,523250,528659,0.0102315481245945
tuy,4722,345817,350539,0.0134706837185021
yagha,2083,238324,240407,0.00866447316425894
yatenga,42586,739916,782502,0.054422864094916
ziro,4997,270578,275575,0.0181329946475551
zondoma,983,241473,242456,0.0040543438809516
zoundweogo,1473,649961,651434,0.00226116536748159
