admin1,gam_muac_n,gam_muac,gam_muac_ci_min,gam_muac_ci_max,mam_muac,mam_muac_ci_min,mam_muac_ci_max,sam_muac,sam_muac_ci_min,sam_muac_ci_max
boucle_du_mouhoun,2416,1.8,1.3,2.5,1.5,1.1,2.2,0.3,0.1,0.6
cascades,973,3.8,2.5,5.9,3,1.9,4.6,0.9,0.3,2.2
centre,275,2.8,1.5,5.2,2.4,1.2,4.8,0.4,0.1,2.7
centre_est,1374,2.3,1.5,3.5,2.1,1.4,3.2,0.2,0,0.8
centre_nord,1566,2.1,1.3,3.3,1.9,1.2,3.1,0.1,0,0.5
centre_ouest,1879,2.1,1.6,2.8,1.8,1.4,2.5,0.3,0.1,0.7
centre_sud,1299,1.4,0.9,2.2,1.3,0.8,2.1,0.1,0,0.6
est,2216,2.8,2.1,3.7,2.5,1.9,3.4,0.2,0.1,0.6
hauts_bassins,1228,0.9,0.5,1.7,0.9,0.5,1.7,NA,NA,NA
nord,1790,1.2,0.7,1.9,1.2,0.7,1.9,NA,NA,NA
plateau_central,1320,2.1,1.4,3.3,2.1,1.3,3.2,0,0,0.3
sahel,1471,3.3,2.4,4.6,3,2.2,4.1,0.3,0.1,1.4
sud_ouest,1664,2.9,2,4,2.6,1.8,3.8,0.2,0.1,0.6
